,PPI,PPI_mop1,PPI_mop2,PPI_mop3,PPI_life,CCPI,export,PMI_raw,PPI_expectation,mop_price,HBR_25,South_China,brent,WTI,CRB,LME_AL,cement,coal,copper,indproduct
2015/3/31,0.2373,0.8364,0.0397,0.563,-0.0101,-0.683573205,3,45,-0.33,,,1.699680937,-4.730430846,-2.142560937,-4.280106431,0.197252906,-1.273144945,-0.863197576,11.68104484,2.819876624
2015/4/30,-0.0122,0.1007,-0.0343,-0.0763,-0.0901,2.23650687,-1.2,47.8,0.33,,-1.766009677,-0.910397029,3.208321348,5.852291801,-2.174709756,-3.871820488,-2.852434351,-9.674464506,1.459948641,-1.308368513
2015/5/31,-0.0345,0.3608,-0.2571,0.4156,-0.055,0.955687077,-0.8,49.4,-0.11,,-1.650821991,3.419568892,3.246045712,4.588490142,1.680631951,2.654408269,-1.593966896,-2.247100143,0.967644067,4.733772124
2015/6/30,-0.2065,-0.5743,-0.2672,0.6957,0.057,-2.321844327,2.8,47.3,-0.13,,-1.120465187,-3.059188723,-3.363491018,-1.253572754,0.475183066,-11.12811946,-0.560796031,2.266531784,-5.843142675,-3.573390306
2015/7/31,-0.5557,-1.2009,-0.475,-0.923,-0.0438,-2.074002529,-1.2,44.7,-0.42,,-3.416488216,-4.372356654,-2.277338213,-7.180614947,-0.877561593,-7.572922698,0.146289492,1.958264857,-8.857762352,-7.216424719
2015/8/31,-0.5535,-1.4228,-0.3323,-1.4221,-0.0498,-1.648883776,-2.8,44.9,-0.45,,2.587953475,0.21419204,-6.884998603,-4.962138938,-0.491578287,-8.420916124,-0.06455857,0.147493496,-3.964232491,-0.474432903
2015/9/30,-0.0223,-0.2518,0.0392,-0.3618,0.0751,1.06919832,4.6,45.8,-0.46,,0.791664456,3.051807579,2.932792904,4.110380171,0.321718482,4.234970657,-0.299735222,-2.104490404,3.061459493,2.941448575
2015/10/31,0.045,0.5587,-0.0781,0.4274,-0.1491,1.509474763,0.2,44.4,0.07,,-1.22765012,0.122228642,6.630217504,6.027265678,0.837768314,-1.539141876,-1.067257281,-3.551868722,1.678440395,-0.256025812
2015/11/30,0,0.1,-0.3,0.9,0,-2.259579192,-0.3,41.1,-0.01,,-2.094086258,-3.279160325,0.583098082,1.819161743,-0.697069277,-7.07943377,-1.184515357,-6.730244213,-5.756697923,-3.634530635
2015/12/31,0,0.4,-0.2,0.2,0,1.447364648,-3.9,42.4,0.18,,-0.895292987,1.344405233,5.458375434,6.915762075,0.296213468,7.456235258,-0.434391703,0.532494543,0.647443844,1.787933537
2016/1/31,0.6,1.2,0.5,-0.1,-0.1,3.574628606,-3.2,45.1,0.37,,3.545358888,1.603774483,2.333436221,3.251701862,3.074900005,2.978232076,0.684939656,3.82879195,4.575083806,2.500268116
2016/2/29,0.4,0.2,0.4,1.6,0.1,0.395780208,0,50.2,0.49,,4.729923203,2.082579538,-8.195158231,-6.868448463,3.510655476,2.668505747,0.362224267,3.97417842,3.673128672,2.528739992
2016/3/31,0.6,0.1135,0.8829,1.928,0.1611,9.363660633,2.4,55.3,0.19,,3.682077044,6.574761405,13.01887059,19.37031854,3.395820647,1.532136204,1.133863241,6.032660727,2.781657583,8.568504302
2016/4/30,0.9,1.1242,1.1229,3.2901,0.0292,3.397878845,1.1,57.6,0.91,,9.91075721,7.671685701,1.112567775,-3.899960584,3.877177974,0.32583898,5.874802631,8.678434154,-2.847849767,8.405272898
2016/5/31,0.6,0.4623,0.6942,3.3819,0.0097,3.928668186,-0.7,55.3,0.38,,10.78966961,-5.590811331,3.083861346,3.618236501,-1.853194007,0.477195288,4.339959101,3.728664555,-5.466937263,-9.128458833
2016/6/30,0.2,1.1,-0.2,1.4,0.1,1.4022603,1,51.3,0.81,,-8.469675186,5.700298943,5.364300951,2.499169994,1.202563536,8.027779809,3.0256166,3.341277443,4.567934638,4.616757917
2016/7/31,0.9,1.6,0.8,2.6,0.1,3.836842057,0.4,54.6,0.55,,7.350304643,15.91922611,1.322125339,6.373635475,0.757042984,4.76741474,1.827702856,9.562995795,9.66432853,17.40144741
